#{"t_start": 1751999596.7623076, "env_id": "None"}
r,l,t
-38.47,31,94.600507
-38.37,21,94.714991
-35.43,33,94.908028
-35.43,28,95.069585
-38.47,29,95.222643
-38.6,29,95.375759
35.616667,32,96.254203
-38.15,30,96.413207
-44.45,40,96.61621
-45.0,20,96.723509
35.175214,27,96.866035
32.682731,31,97.021397
-32.21,40,97.230731
-32.75,32,97.391001
35.371324,29,97.567613
-32.74,27,97.734105
-36.0,32,97.930415
35.822394,36,98.14545
32.929054,41,98.367165
41.10168,28,98.530819
35.069091,39,98.747303
-35.94,27,98.899307
32.806897,28,99.053952
-35.02,37,99.249253
-41.56,22,99.367693
40.823851,32,99.531382
32.072243,54,99.800611
32.624161,35,99.979568
-35.81,43,100.212173
-32.66,35,100.433036
-36.0,25,100.574293
32.834586,61,100.892727
-32.64,41,101.103909
-38.46,50,101.357738
-38.04,38,101.58741
38.516026,43,101.829021
32.423077,39,102.050865
-32.01,45,102.314907
-32.73,35,102.511689
-35.02,40,102.737505
35.235589,51,103.017298
-36.0,39,103.219204
38.61194,31,103.38557
35.187919,26,103.566412
36.0,27,103.696038
-32.83,33,103.877158
38.361538,32,104.070637
32.184564,41,104.284756
38.207763,25,104.392959
-38.6,23,104.507982
-36.0,29,104.660458
36.0,29,104.815253
34.706341,46,105.080087
44.648889,20,105.195801
-35.14,46,105.450255
-36.0,30,105.624701
32.493703,80,106.061909
-33.0,33,106.23233
32.731061,44,106.454485
-33.0,26,106.590327
33.0,32,106.7783
-30.0,36,106.998382
-36.0,40,107.231687
38.988889,29,107.386787
-35.66,46,107.657455
35.845638,32,107.842146
-41.86,29,108.00867
-32.27,25,108.14726
35.611511,27,108.285541
-41.86,32,108.476609
-41.83,43,108.715664
-38.82,23,108.853021
-32.95,34,109.079277
38.738956,23,109.205511
33.0,31,109.395828
-41.25,27,109.57759
-35.32,38,109.801629
33.0,33,110.018009
-32.78,27,110.191684
35.369128,32,110.40916
-32.83,37,110.633513
-41.52,21,110.768829
-32.67,42,111.011507
-38.47,23,111.150909
32.073171,30,111.334057
33.0,30,111.460322
-36.0,26,111.610793
-32.31,33,111.771511
40.999221,22,111.88922
-32.84,32,112.077435
-32.71,64,112.432008
-32.14,35,112.620023
-36.0,42,112.84395
38.701923,28,112.993356
-36.0,22,113.112235
-35.66,28,113.251355
-35.97,33,113.433266
39.0,27,113.58151
-35.02,32,113.751461
-41.24,21,113.862676
41.036735,27,114.009196
38.536913,22,114.128232
-32.92,42,114.351231
32.479167,33,114.524258
-41.38,21,114.63658
-38.57,27,114.78105
32.20155,31,114.940333
-36.0,33,115.117478
-38.79,54,115.401586
-32.12,29,115.551392
35.494774,31,115.737225
-32.63,35,115.912266
33.0,48,116.157407
-38.9,43,116.382028
32.404412,43,116.594512
32.397476,35,116.781607
-35.18,59,117.083229
32.308605,30,117.238505
-35.54,36,117.4214
-38.57,29,117.576288
35.662965,32,117.732386
32.324242,28,117.870922
44.794224,25,118.007375
-32.76,39,118.204307
-35.41,28,118.343809
34.779101,31,118.514174
-32.76,29,118.661936
-35.86,25,118.793273
30.0,25,118.909611
-32.29,26,119.041978
32.007042,36,119.220379
35.803279,45,119.457689
32.325175,44,119.686347
-32.35,43,119.901628
-38.13,24,120.016713
32.837838,37,120.210378
-32.39,29,120.357518
-35.19,27,120.496667
-30.0,31,120.652914
35.654762,42,120.876249
38.097104,30,121.036175
-38.84,31,121.2098
-32.71,33,121.393043
32.003135,47,121.651156
-32.64,30,121.815015
-32.41,32,121.988363
-32.37,31,122.14339
32.361111,64,122.498675
-35.63,29,122.654691
32.339744,43,122.892564
-35.37,24,123.027931
32.37037,29,123.178386
-32.75,32,123.343747
-35.45,27,123.476324
-38.04,34,123.680973
44.448052,27,123.824359
32.066148,30,124.839467
-32.29,28,124.991609
-35.54,28,125.141283
-32.91,29,125.300976
-33.0,33,125.488939
-32.65,32,125.65694
-33.0,34,125.834123
35.633333,27,125.983412
-35.3,28,126.126712
-32.08,27,126.27757
38.9,18,126.370656
35.686508,29,126.532434
35.230453,34,126.714496
32.900726,35,126.893506
32.730627,35,127.073351
43.619227,29,127.249125
-32.16,31,127.407118
38.48,16,127.495968
38.18662,30,127.662814
32.374517,51,127.93567
35.85461,35,128.114193
32.607547,37,128.330776
-32.15,87,128.781952
-35.2,29,128.93482
-41.12,31,129.100066
32.555133,31,129.26331
39.0,28,129.407273
35.46831,30,129.564721
-33.0,29,129.715059
32.682692,45,129.947271
-38.75,18,130.050453
41.246094,17,130.146799
-33.0,40,130.360119
35.530383,31,130.527191
32.9,23,130.651007
-35.5,37,130.850418
38.783133,23,130.963278
-33.0,33,131.1491
32.069091,35,131.329783
42.0,30,131.49917
-36.0,26,131.644178
35.910072,31,131.814255
37.298196,26,131.960958
-41.47,25,132.092838
35.559441,22,132.211612
35.428571,30,132.384165
-38.51,24,132.518973
42.0,29,132.703606
-32.56,37,132.902054
35.902985,27,133.05131
35.488889,32,133.21915
32.615672,36,133.419314
36.0,24,133.545826
-33.0,29,133.69786
-35.66,34,133.879622
35.388889,29,134.034456
-35.56,32,134.202656
32.859813,24,134.324365
-35.88,25,134.452367
-32.22,42,134.680366
33.0,32,134.852552
