#{"t_start": 1751995681.3576336, "env_id": "None"}
r,l,t
38.7,42,165.716343
41.747664,43,165.95597
35.681203,52,166.239889
-33.0,54,166.542723
41.608059,26,166.680458
41.566766,24,166.811455
41.939394,29,166.973246
44.615672,24,167.102132
41.538941,24,167.234782
41.8,28,167.382535
44.591241,19,167.486984
42.0,24,167.614635
41.331126,30,167.776856
36.0,33,167.955129
42.0,34,168.137054
44.062069,33,168.316683
38.989437,29,168.474427
38.902724,25,168.604122
41.801047,20,168.716228
35.734694,40,168.931695
41.185589,40,169.148073
38.758713,32,169.325118
47.657407,29,169.487723
32.8,29,169.636451
41.112483,37,169.843268
39.0,25,169.977641
44.752914,48,170.248861
42.0,25,170.38479
32.566343,61,170.697168
38.90106,25,170.82993
36.0,42,171.055858
35.1,31,171.225626
38.257627,44,171.466676
36.0,33,171.640451
44.599251,19,171.74934
-32.09,62,172.077345
38.1673,25,172.214725
38.356902,36,172.413118
44.609272,21,172.528189
44.598425,33,172.706876
32.765101,33,172.887234
36.0,43,173.127321
41.924138,26,173.267278
44.077778,30,173.428302
41.25,19,173.527201
41.582822,19,173.629662
42.0,33,173.811456
35.9,87,174.267378
-32.8,43,174.503635
35.832853,48,174.748922
36.0,39,174.954452
41.795181,30,175.115298
38.519856,26,175.258989
38.692308,23,175.381695
-34.91,31,175.546193
39.0,21,175.664836
41.459854,37,175.866333
41.123134,25,175.99873
38.227273,42,176.225764
40.011369,69,176.61878
42.0,46,176.857379
42.0,24,176.988508
41.46281,21,177.099432
38.8,44,177.340158
38.530909,27,177.480392
38.055085,35,177.670855
33.0,47,177.917054
44.101562,27,178.060265
41.675277,26,178.202258
44.118971,18,178.295835
41.968966,25,178.421308
32.8125,55,178.709839
35.658009,48,178.944255
41.878924,37,179.13804
44.134611,27,179.283733
35.796226,42,179.493629
47.43686,31,179.670135
-32.16,26,179.806648
41.102662,26,179.946459
38.7,36,180.143584
41.849817,25,180.283729
45.0,31,180.450059
39.0,35,180.633663
38.1875,31,180.796694
38.490909,26,180.926332
41.480916,29,181.082921
44.829181,30,181.244694
36.0,85,181.69662
38.467532,31,181.859989
33.0,65,182.178813
41.517134,32,182.352362
38.408088,32,183.790932
45.0,22,183.910517
