#{"t_start": 1751257701.4948792, "env_id": "None"}
r,l,t
41.558052,33,231.931436
39.0,36,232.252102
44.60177,27,232.521544
43.429052,48,232.941578
42.0,31,233.240501
40.828369,46,233.654657
38.80597,28,233.92128
38.05298,33,234.225083
-32.42,41,234.578596
33.0,34,234.899248
38.511111,38,235.243445
43.625017,42,235.61396
44.001758,35,235.94316
-32.02,32,236.23345
35.600068,59,236.703196
-32.22,35,237.024308
-32.8,68,237.643908
41.444867,41,238.000091
44.401544,19,238.211606
41.128514,29,238.491458
45.0,27,238.763904
39.0,36,239.088542
44.267568,23,239.329705
37.641088,44,239.725426
41.173913,42,240.087163
41.441097,36,240.424485
44.236641,50,240.852893
35.939024,42,241.229409
35.630872,40,241.577881
42.0,31,241.868097
44.306397,25,242.134946
44.211679,25,242.393238
42.0,39,242.744327
37.260027,34,243.064665
46.744177,20,243.286385
41.556391,46,243.699024
39.0,37,244.035295
32.672078,51,244.477128
41.53876,27,244.75912
44.408163,21,244.993325
33.0,51,245.408973
44.439169,22,245.636887
-32.06,69,246.171877
36.0,43,246.55179
35.66242,29,246.842192
35.639871,45,247.232171
41.042512,46,247.631997
38.030043,48,248.044248
38.066832,36,248.399676
42.0,31,248.688018
41.092949,37,249.03332
33.0,46,249.430919
37.911455,65,249.966641
41.835165,28,250.237976
39.0,33,250.56699
37.674705,52,250.995033
38.367273,36,251.324864
-35.63,57,251.794798
38.090513,51,252.24871
44.507937,26,252.514372
38.815436,25,252.768556
43.322846,37,253.119699
41.512195,30,253.410147
41.924051,26,254.609953
35.528302,31,254.905757
47.02439,23,255.146704
41.215873,21,255.369718
43.481584,28,255.662448
44.088605,30,255.950294
32.666667,32,256.246844
41.402439,33,256.548971
41.551136,40,256.903282
41.464508,33,257.212383
-32.03,46,257.63361
38.310267,39,257.981385
35.433099,38,258.343065
-38.07,34,258.645154
44.420833,28,258.930238
44.185185,41,259.299241
39.0,31,259.605106
40.902818,33,259.911391
44.178646,26,260.16384
41.565657,33,260.480525
44.555556,32,260.778067
37.84084,33,261.088041
41.022321,25,261.355057
37.304333,40,261.723539
43.581031,49,262.180153
32.830128,44,262.557075
40.817089,30,262.852126
35.188455,45,263.242154
43.740418,38,263.605368
44.083806,26,263.862196
42.0,23,264.107908
44.275168,40,264.456529
41.104475,34,264.771107
42.0,20,264.992033
36.0,27,265.25973
39.899779,41,265.628402
42.0,22,265.859026
38.9,41,266.220399
44.291721,30,266.505642
38.85044,29,266.78657
35.796154,36,267.10544
36.0,44,267.500954
47.256098,17,267.70419
42.0,21,267.947136
44.775,25,268.198713
43.969556,34,268.529031
32.601286,42,268.894289
40.906856,33,269.208124
41.807273,26,269.476546
38.451724,36,269.822427
36.0,31,270.123591
45.0,24,270.377494
41.516556,21,270.608403
33.0,68,271.168114
45.0,25,271.430427
-32.11,33,271.725708
38.534615,40,272.088217
44.844371,42,272.452384
37.740388,53,272.900632
37.935097,71,273.487401
33.0,52,273.938854
41.875,32,274.235224
35.128788,51,274.673079
42.0,25,274.926949
38.857724,26,275.197921
38.265244,35,275.51936
39.0,25,275.775109
46.170406,22,276.025959
38.298561,66,276.546578
41.471311,50,276.968726
44.84252,29,277.254287
33.0,32,277.551628
45.0,56,278.009234
41.421818,23,278.245534
41.371108,23,278.507735
41.128183,30,278.804136
35.902344,59,279.287155
44.925267,21,279.524275
43.775421,32,279.837204
42.0,29,280.132754
41.019293,40,280.498268
35.490566,32,280.794312
44.333333,28,281.070958
38.1875,26,281.326996
34.480261,73,281.918531
41.341463,36,282.237328
41.819762,27,282.503013
46.471271,32,282.806327
39.0,31,283.087719
-32.14,68,283.640147
-32.14,105,284.466527
38.634538,37,284.800534
32.345455,47,285.196267
44.193268,20,285.434186
41.889831,29,285.72087
38.257576,24,285.962637
42.0,24,286.204754
38.405594,37,286.543334
38.732852,29,286.827685
34.975936,50,287.248144
47.384615,24,287.509021
41.372263,26,287.787948
36.0,40,288.141683
41.211428,41,288.513754
41.00463,26,288.770203
44.938931,27,289.043908
46.546376,57,289.518029
42.883582,39,289.88702
38.619772,26,290.144106
38.723636,44,290.532297
38.901515,41,290.904795
44.020026,33,291.219857
39.0,31,291.517406
-32.26,42,291.900942
44.201305,34,292.215714
38.150794,37,292.554022
-32.85,136,293.551769
43.249762,21,293.786782
35.724806,35,294.11444
45.0,60,294.611534
32.639485,27,294.891459
46.953376,31,295.191233
47.257042,34,295.513512
38.824268,40,295.899097
32.153846,27,296.162778
32.205323,49,296.589638
35.44964,27,296.852779
35.311284,43,297.22791
41.229167,35,297.555965
32.550336,28,297.855061
43.893945,32,298.153569
38.124163,32,298.449383
41.559829,34,298.775693
35.28689,73,299.388173
46.832338,22,299.619657
41.119691,24,299.870843
35.603774,31,300.154827
38.409836,27,300.411306
41.3,22,300.641735
38.714829,46,301.035142
41.102041,28,301.31768
44.210868,30,301.628477
35.612676,33,301.93088
32.94052,62,302.427125
41.412451,30,302.708839
-32.57,38,303.041846
44.47351,23,303.280389
32.382253,43,303.648094
44.561538,31,303.945102
41.138577,21,304.190361
38.868687,29,304.468609
38.938628,43,304.85332
39.0,32,305.166822
44.790087,42,305.543469
41.664093,37,305.874208
36.0,30,306.14852
38.040293,33,306.474982
38.197032,36,306.805813
36.0,34,307.149984
38.270396,49,307.565197
-32.49,69,308.114457
48.0,19,308.345255
41.568421,29,308.629869
41.182186,30,308.92038
41.555133,68,309.461441
41.619529,29,309.739845
37.989626,39,310.094048
-32.13,40,310.457519
-32.63,71,311.033825
-33.0,61,311.525418
37.918312,27,311.789315
41.531303,41,312.155665
41.779468,33,312.486128
36.0,40,312.83732
41.32,36,313.157768
40.42312,26,313.417079
47.386617,31,313.718969
-32.78,56,314.206952
43.642948,34,314.520109
41.212121,28,314.821789
38.599418,28,315.095125
41.187279,23,315.34374
39.0,49,315.750002
41.194444,24,316.005954
44.549054,35,316.328652
36.0,29,316.605586
39.0,29,316.88223
38.372093,39,317.237559
44.960289,20,317.468826
40.717566,23,317.718251
41.905923,26,317.978099
47.255058,20,318.202661
41.705224,24,318.451323
41.726908,26,318.708181
40.946846,24,318.95761
44.322148,24,319.2148
39.0,24,319.467832
39.0,43,319.8434
43.995652,31,320.141934
38.4,28,320.413071
-32.62,51,320.85277
42.0,33,321.152573
44.003497,26,321.419456
44.854545,25,321.679223
44.029091,27,321.941304
-30.0,62,322.445698
41.132353,21,322.667642
41.291361,33,323.009571
34.82745,51,323.47076
44.091789,36,323.816658
43.69362,28,324.090301
-32.07,57,324.575202
39.0,37,324.920991
41.412245,25,325.177593
41.633562,35,325.495373
42.0,26,325.759094
38.528777,44,326.132152
41.647687,45,326.538431
41.189223,50,328.113554
41.291498,29,328.39829
38.676471,30,328.704235
41.340909,19,328.936195
41.498615,49,329.352835
32.956772,37,329.679242
42.0,41,330.055778
44.202091,28,330.336953
46.813864,43,330.733481
44.385604,26,330.99864
35.196141,65,331.52191
36.0,41,331.874902
41.708609,35,332.200327
38.93985,40,332.58197
45.0,29,332.870077
46.694413,27,333.136673
35.410345,37,333.463716
44.698507,32,333.771861
35.93949,44,334.147739
35.731959,41,334.518741
38.721362,64,335.052587
37.944704,26,335.313497
36.0,29,335.598182
41.015611,42,335.975422
41.305556,26,336.232064
41.450799,39,336.612145
35.438095,29,336.894421
42.0,33,337.192701
40.886252,28,337.473144
38.611111,32,337.779851
41.143369,30,338.070167
35.75,31,338.371014
35.695652,49,338.828328
41.954023,25,339.108348
41.818522,27,339.391266
45.0,16,339.586137
40.746173,26,339.849948
40.48097,55,340.304659
38.070423,44,340.711149
35.489655,45,341.097121
44.119382,36,341.430179
41.62815,22,341.669685
40.485044,46,342.062371
39.0,30,342.34182
47.136954,23,342.60357
41.497487,34,342.922408
42.0,35,343.262148
32.464684,58,343.735918
38.876081,25,343.991869
38.061856,26,344.250672
38.631034,32,344.567856
46.943369,28,344.846494
42.0,30,345.142064
41.503571,38,345.4915
40.841383,40,345.845175
38.638132,23,346.089924
41.442368,22,346.320115
36.0,59,346.827006
44.757042,26,347.088122
44.25788,28,347.370883
44.23461,28,347.63956
38.692308,33,347.945199
41.026667,38,348.292461
41.34749,27,348.569776
38.206897,32,348.87706
40.984511,36,349.207663
-34.18,47,349.601856
47.390805,21,349.829005
41.9,27,350.094697
41.031079,26,350.352341
44.117825,30,350.641877
40.850913,41,351.031977
41.0443,39,351.374448
36.0,45,351.755129
35.107011,38,352.092479
46.986264,28,352.377017
41.771429,32,352.701996
38.608365,30,352.987972
-32.21,39,353.356971
41.65847,33,353.657056
36.0,52,354.109253
40.553854,56,354.61852
41.134831,22,354.858984
43.8094,32,355.168571
35.190031,50,355.599358
35.84127,33,355.90619
42.0,21,356.131423
41.609694,35,356.46438
35.996564,40,356.891048
39.0,35,357.204881
41.645669,29,357.481708
35.74026,29,357.765718
41.110614,30,358.056318
38.881423,37,358.375681
-32.38,51,358.8369
41.185606,52,359.285259
42.0,23,359.5273
47.343396,22,359.772325
41.020772,26,360.03847
38.598394,33,360.341806
38.086643,44,360.73975
41.032051,28,361.046571
41.264377,35,361.387236
44.077181,20,361.606375
38.676259,41,361.976226
38.18795,40,362.345147
37.589437,35,362.665598
41.112727,23,362.91583
35.23166,41,363.306985
46.397636,22,363.535173
38.879121,28,363.815567
35.373887,47,364.222566
44.651724,31,364.513186
44.501901,21,364.739504
37.544558,32,365.048975
44.838583,23,365.31036
32.384106,35,365.621101
38.557377,30,365.905562
41.304786,26,366.166874
42.0,27,366.444647
32.177914,36,366.800686
40.399775,29,367.148422
41.402256,25,367.43672
41.599237,34,367.78959
38.282258,40,368.173874
32.684211,83,368.870399
47.638838,27,369.177002
43.550021,37,369.52948
47.23513,25,369.808108
41.68,27,370.108223
35.255725,33,370.440221
47.847352,22,370.700181
35.142322,40,371.089372
41.661479,34,371.43824
44.042636,21,371.684175
38.67233,38,372.065689
40.811577,34,372.403898
41.54417,40,372.800137
38.625514,26,373.091996
41.378723,27,373.398992
40.79161,30,373.75688
